Scenario_Model,AUC_mean,AUC_std,Sensitivity,Specificity,F1,BalancedAcc,Class0_F1,Class1_F1
RadOnly_GDice_Top50__LogisticRegression,0.48346560846560854,0.11182999991777814,0.0975609756097561,1.0,0.17777777777777776,0.5487804878048781,0.463768115942029,0.17777777777777776
Clin+Rad_Focal_Top10__GaussianNB,0.4825562169312169,0.21349864282870265,0.4878048780487805,0.6875,0.6060606060606061,0.5876524390243902,0.4583333333333333,0.6060606060606061
Clin+Rad_BCEDice_Top10__GaussianNB,0.4817294973544974,0.2930865087944892,0.6829268292682927,0.5,0.7272727272727273,0.5914634146341464,0.4324324324324324,0.7272727272727273
RadOnly_Focal_Top20__GaussianNB,0.4814153439153439,0.15479078779003252,1.0,0.125,0.8541666666666666,0.5625,0.2222222222222222,0.8541666666666666
Clin+Rad_Dice_Top50__GaussianNB,0.48091931216931216,0.16182159578984992,0.8780487804878049,0.25,0.8089887640449439,0.5640243902439024,0.32,0.8089887640449439
RadOnly_GDice_Top20__GradientBoosting,0.48088624338624336,0.23644715463649818,0.8048780487804879,0.25,0.7674418604651163,0.5274390243902439,0.28571428571428575,0.7674418604651163
RadOnly_BCEDice_Top10__kNN_k5,0.4798611111111112,0.10532687216470446,0.7560975609756098,0.3125,0.746987951807229,0.5342987804878049,0.3225806451612903,0.746987951807229
Clin+Rad_Tversky_Top50__GaussianNB,0.47954695767195765,0.12982893937675088,0.926829268292683,0.1875,0.8260869565217392,0.5571646341463414,0.2727272727272727,0.8260869565217392
RadOnly_AdaptiveRegional_Top20__DecisionTree,0.47896825396825404,0.21356562578751906,0.0,1.0,0.0,0.5,0.4383561643835616,0.0
Clin+Rad_BCEFocalTversky_Top50__GaussianNB,0.4788359788359789,0.16678367858533644,0.926829268292683,0.25,0.8351648351648352,0.5884146341463414,0.34782608695652173,0.8351648351648352
RadOnly_BCEFocalTversky_Top50__LogisticRegression,0.4779761904761905,0.10230555855702761,0.1951219512195122,0.9375,0.32,0.5663109756097561,0.46875,0.32
